11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:58.219: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.236: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.252: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.269: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.286: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.303: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.319: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.336: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.353: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.369: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:58.386: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.402: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.419: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.436: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.453: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.469: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.486: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.502: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.519: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.536: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.553: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.569: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.586: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.603: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.619: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.636: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.653: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.669: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.686: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.703: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.719: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.736: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.753: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.769: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.786: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.802: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.819: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.836: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.852: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.870: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.886: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:59.902: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
